Risk,Workload,RecordType,Operation,FriendlyName,CustomDescription,Description
,,,DocumentSensitivityMismatchDetected,Detected document sensitivity mismatch,,"User uploads a document to a site that's protected with a sensitivity label and the document has a higher priority sensitivity label than the sensitivity label applied to the site. For example, a document labeled Confidential is uploaded to a site labeled General."
,,,DomainControllerCoverageExcelDownloaded,Downloaded Domain Controller coverage Excel,,The Domain Controller coverage Excel file was downloaded.
,,,DownloadCopyOfLakeData,Download Copy Of Lake Data,,When the copy of Lake Data is downloaded.
,,,DownloadedReport,Downloaded report,,Analyst downloaded a query result file.
,,,DownloadFile,Downloaded file,,Downloaded a suspicious file for further investigation.
,,,DownloadOffboardingPkg,Downloaded offboarding package,,Downloaded the package used to remove devices from Defender for Endpoint.
,,,DownloadOnboardingPkg,Downloaded onboarding package,,Downloaded the package used to onboard devices to Defender for Endpoint.
,,,DraftRestoreTaskCreated,Created Draft Restore Task,,"A restore task is created in Microsoft 365 Backup. By default, the restore task is created as draft."
,,,DraftRestoreTaskDeleted,Deleted Draft Restore Task,,A draft restore task is deleted in Microsoft 365 Backup.
,,,DraftRestoreTaskEdited,Edited Draft Restore Task,,A draft restore task is edited in Microsoft 365 Backup.
,,,EditCustomDetection,Edited custom detection rule,,A custom detection rule was modified.
,,,Edited role,EditRole,,Edited security roles and permissions.
,,,EditForm,Edited form,,"Form owner edits a form such as creating, removing, or editing a question. The property EditOperation:string indicates the edit operation name. The possible operations are: -CreateQuestion, -CreateQuestionChoice, -DeleteQuestion, -DeleteQuestionChoice, -DeleteFormImage, -DeleteQuestionImage, -UpdateQuestion, -UpdateQuestionChoice, -UploadFormImage/Bing/Onedrive, -UploadQuestionImage, -ChangeTheme. FormImage includes any place within Forms that user can upload an image, such as in a query or as a background theme."
,,,EditIncidentClassification,Edit incident classification,,Edit incident classification.
,,,EditIndicator,Edited indicator,,Edited an Indicator of compromise.
,,,EditRulePackage,Edited a sensitive information type,,An existing sensitive information type was edited. This can include operations like adding/removing a pattern and editing the regex/keyword associated with the sensitive information type.
,,,EditRulePackage / RemoveRulePackage,Deleted a sensitive information type,,An existing sensitive information type was deleted.
,,,EditSuppressionRule,Edited suppression rule,,Deleted alert suppression rule.
,,,EditUpdateRequest,Edit an update request,,"A user opens the request editing workflow and selects Save to confirm and save any changes, or enables or disables the update request directly."
,,,EnableCopilotPlugin,Enabled a Copilot plugin,,A user (or admin or system on behalf of a user) enabled a Copilot plugin.
,,,EnableCopilotPromptBook,Enabled a Copilot promptbook,,A user (or admin or system on behalf of a user) enabled a Copilot promptbook.
,,,EnableSameOrgCollaboration,Enabled people in my organization collaboration,,Form owner turns on the setting allowing users in the current organization to view and edit the form.
,,,EnableSpecificCollaboaration,Enabled specific people collaboration,,Form owner turns on the setting allowing only specific people or specific groups in the current organization to view and edit the form.
,,,EnableSpecificResponse,Enabled specific people can respond setting,,Form owner turns on the setting allowing only specific people or specific groups in the current organization to respond to the form.
,,,EnableSuppressionRule,Enabled suppression rule,,Enabled alert suppression rule.
,,,EnableWorkOrSchoolCollaboration,Enabled Office 365 work or school account collaboration,,Form owner turns on the setting allowing users with a Microsoft 365 work or school account to view and edit the form.
,,,EntityCreated,Asset or entity created,,A new asset or entity is created or added to an existing asset.
,,,EntityDeleted,Entity deleted,,An asset or entity is deleted from an existing asset.
,,,EntityRemediatorConfigurationUpdated,Updated entity remediation configuration,,The Manage action accounts mode was modified.
,,,EntityUpdated,Entity updated,,"Includes: attribute update, business attribute update, collection info (only include collection ID), contacts update, customAttributes, hierarchy, homeId, labels, sourceDetails"
,,,ExchangeDataProactivelyPreserved,Retained email item proactively,,Adaptive protection automatically applied a retention label to retain an item in Exchange.
,,,ExclusionConfigurationAdded,Added exclusions configuration,,A global exclusion was added for an alert or for an entity.
,,,ExclusionConfigurationDeleted,Deleted exclusions configuration,,A global exclusion was deleted for an alert or for an entity.
,,,ExclusionConfigurationUpdated,Updated exclusions configuration,,A global exclusion was updated for an alert or for an entity.
,,,Execute AppHealthPlugin,Execute AppHealthPlugin,,Execute AppHealthPlugin.
,,,ExecutedQuery,Executed query,,Analyst ran a query.
,,,ExemptUserAgentSet,Added exempt user agent,,A SharePoint or global administrator added a user agent to the list of exempt user agents in the SharePoint admin center.
,,,ExportForm,Exported form,,Form owner exports results to Excel.
,,,ExtendRetention,Extended retention period,,A disposition reviewer extended the retention period of the item.
,,,FailedValidation,Failed to validate invitation to shared channel 3,,A user responds to an invitation to a shared channel but the invitation failed validation.
,,,FavoriteListViewed,Viewed favorite list,,User viewed a list of favorite cases.
,,,FavoriteRemoved,Removed favorite,,User removed a case from favorites.
,,,FavoriteSet,Added favorite,,User set a case to favorite.
,,,FileAccessFailure,Failed to access file,,User failed to access a file.
,,,FileCheckedIn,Checked in file,,User checks in a document that they checked out from a document library.
,,,FileCheckedOut,Checked out file,,User checks out a document located in a document library. Users can check out and make changes to documents that have been shared with them.
,,,FileCheckOutDiscarded,Discarded file checkout,,"User discards (or undoes) a checked out file. That means any changes they made to the file when it was checked out are discarded, and not saved to the version of the document in the document library."
,,,FileCopied,Copied file,,User copies a document from a site. The copied file can be saved to another folder on the site.
,,,FileCreated,Created file,,User uploads a file.
,,,FileDeleted,Deleted file,,User deletes a document from a site.
,,,FileDeletedFirstStageRecycleBin,Deleted file from recycle bin,,User deletes a file from the recycle bin of a site.
,,,FileDeletedSecondStageRecycleBin,Deleted file from second-stage recycle bin,,User deletes a file from the second-stage recycle bin of a site.
,,,FileDownloaded,Downloaded file,,User downloads a document from a site.
,,,FileDownloaded,Downloaded file,,User downloads a file.
,,,FileMalwareDetected,Detected malware in file,,SharePoint anti-virus engine detects malware in a file.
,,,FileMoved,Moved file,,User moves a document from its current location on a site to a new location.
,,,FileRenamed,Renamed file,,User renames a document.
,,,FileRestored,Restored file,,User restores a document from the recycle bin of a site.
,,,FileSensitivityLabelApplied,Applied sensitivity label to file,,"A sensitivity label was applied to an item by using Microsoft 365 apps, Office for the web, or an auto-labeling policy."
,,,FileSensitivityLabelChanged,Changed sensitivity label applied to file,,A different sensitivity label was applied to an item.
,,,FileSensitivityLabelRemoved,Removed sensitivity label from file,,"A sensitivity label was removed from an item by using Microsoft 365 apps, Office for the web, an auto-labeling policy, or the Unlock-SPOSensitivityLabelEncryptedFile cmdlet."
,,,FileShared,Shared file,,User shares a file with another user.
,,,FileSyncDownloadedPartial,Downloaded file changes to computer,,This event has been deprecated along with the old OneDrive for Business sync app (Groove.exe).
,,,FileSyncUploadedPartial,Uploaded file changes to document library,,This event has been deprecated along with the old OneDrive for Business sync app (Groove.exe).
,,,FileUpdateDescription,Updated file description,,User changes the description of a file.
,,,FileUpdateName,Updated file name,,User changes the name of a file.
,,,FileVersionRecycled,Recycled version of file,,User deletes a version from the version history of a file. The deleted version is moved to the site's recycle bin.
,,,FileVersionsAllMinorsRecycled,Recycled all minor versions of file,,User deletes all minor versions from the version history of a file. The deleted versions are moved to the site's recycle bin.
,,,FileVersionsAllRecycled,Recycled all versions of file,,User deletes all versions from the version history of a file. The deleted versions are moved to the site's recycle bin.
,,,FileVisited,Viewed file,,User views a file.
,,,FolderCopied,Copied folder,,User copies a folder from a site to another location in SharePoint or OneDrive for Business.
,,,FolderCreated,Created folder,,User creates a folder on a site.
,,,FolderDeleted,Deleted folder,,User deletes a folder from a site.
,,,FolderDeletedFirstStageRecycleBin,Deleted folder from recycle bin,,User deletes a folder from the recycle bin on a site.
,,,FolderDeletedSecondStageRecycleBin,Deleted folder from second-stage recycle bin,,User deletes a folder from the second-stage recycle bin on a site.
,,,FolderModified,Modified folder,,"User modifies a folder on a site. This includes changing the folder metadata, such as changing tags and properties."
,,,FolderMoved,Moved folder,,User moves a folder to a different location on a site.
,,,FolderRecycled,Recycled a folder,,User moves a folder into the SharePoint Recycle Bin.
,,,FolderRenamed,Renamed folder,,User renames a folder on a site.
,,,FolderRestored,Restored folder,,User restores a deleted folder from the recycle bin on a site.
,,,FolderSharingLinkShared,Folder sharing link shared,,Created a sharing link for a folder.
,,,GenerateCopyOfLakeData,Generate Copy Of Lake Data,,When the copy of Lake Data is generated.
,,,GeoAdminAdded,Added geo location admin,,A SharePoint or global administrator added a user as a geo admin of a location.
,,,GeoAdminDeleted,Removed geo location admin,,A SharePoint or global administrator removed a user as a geo admin of a location.
,,,GeoQuotaAllocated,Set storage quota for geo location,,A SharePoint or global administrator configured the storage quota for a geo location in a multi-geo environment.
,,,GetActionsForAllExports,Retrieved all actions for all exports,,"User viewed a list of exports in a case. The audit activity includes case name, ID, case settings, and the list of export names viewed."
,,,GetActionsForAllHolds,Retrieved all action for hold,,"User viewed a list of actions associated with all holds in a case. The audit activity includes case name, ID, hold name, ID, and the name of the list of actions."
,,,GetActionsForAllReviewSets,Retrieved actions for all review sets,,User viewed a list of actions associated with all review sets in a case
,,,GetActionsForCase,Retrieved all actions for case,,User viewed a list of actions (such as exports) associated with an eDiscovery case.
,,,GetActionsForHold,Retrieved all actions for hold,,User viewed a list of actions associated with a hold.
,,,GetActionsForReviewSet,Retrieved all actions for review set,,"User viewed a list of actions (such as exports) associated with a review set. The audit activity includes case name, ID, review set name, ID, and the name of the list of actions."
,,,GetActionsForSearch,Retrieved all action for search,,"User viewed a list of actions (such as exports) associated with a search. The audit activity includes case name, ID, search name, ID, and the name of the list of actions."
,,,GetAllRestoreArtifactsInTask,Programmatically got list of Restore Items in Restore Task,,A user programmatically gets all artifacts in a restore task in Microsoft 365 Backup.
,,,GetBackupItem,Programmatically got Backup Item,,User requests the protection unit backed up using Microsoft 365 Backup programmatically.
,,,GetRestoreTaskDetails,Programmatically got Details of Restore Task,,A user requests details of restore task by its identifier in Microsoft 365 Backup.
,,,GetSingleActionForCase,Retrieved single action for case,,"User viewed a single action associated with an eDiscovery case. For example, the user viewed the export process in process manager. The audit activity includes case name, ID, and settings and ID associated with the process."
,,,GetSingleActionForHold,Retrieved single action for hold,,User viewed a single action associated with a hold.
,,,GetSingleActionForReviewSet,Retrieved single action for review set,,User viewed a single action associated with a review set.
,,,GetSingleActionForSearch,Retrieved single action for search,,"User viewed a single action associated with a search. For example, the user viewed the export process in the search�s process manager. The audit activity includes case name, ID, and settings and ID associated with the process."
,,,GetSummaryLink,Created summary link,,Form owner creates summary results link to share results.
,,,GlossaryTermAssigned,Glossary term assigned,,Assign terms to asset entity.
,,,GlossaryTermCreated,Glossary term created,,Create a term.
,,,GlossaryTermDeleted,Glossary term deleted,,Delete a term.
,,,GlossaryTermDisassociated,Glossary term disassociated,,Disassociate terms from asset entity.
,,,GlossaryTermUpdated,Glossary term updated,,Update a term.
,,,Goals policy updated,Goals policy updated,,"The global admin has modified the policy or settings at the tenant level on Viva Goals. For example, the global admin has configured who can create organizations on Viva Goals."
,,,GroupAccessFailure,Failed to access group,,User failed to access a group.
,,,GroupAdded,Created group,,"Site administrator or owner creates a group for a site, or performs a task that results in a group being created. For example, the first time a user creates a link to share a file, a system group is added to the user's OneDrive for Business site. This event can also be a result of a user creating a link with edit permissions to a shared file."
,,,GroupCreation,Created group,,User creates a group.
,,,GroupDeletion,Deleted group,,A group is deleted from Viva Engage.
,,,GroupRemoved,Deleted group,,User deletes a group from a site.
,,,GroupUpdated,Updated group,,"Site administrator or owner changes the settings of a group for a site. This can include changing the group's name, who can view or edit the group membership, and how membership requests are handled."
,,,HoldCreated,Created hold in eDiscovery case,,"A new hold was created. This audit activity includes the case name, case ID and hold name that was created."
,,,HoldListViewed,Viewed hold list,,"User viewed the holds list inside a case. This audit activity includes the case name, case ID, and the list of holds name and ID the user viewed."
,,,HoldRemoved,Deleted hold in eDiscovery case,,A hold that is associated with an eDiscovery case was deleted. Deleting a hold releases all of the content locations from the hold.
,,,HoldResultsViewed,Viewed hold results,,"User viewed hold�s results. The audit activity includes case name, case ID, hold name, and hold ID."
,,,HoldRetryDistributionSync,Retried distribution sync for hold,,User trigged �retry policy� in a hold.
,,,HoldStatusViewed,Viewed hold status,,"User viewed hold�s status. The audit activity includes case name, case ID, hold name, and hold ID."
,,,HoldUpdated,Changed hold in eDiscovery case,,"Hold was modified or edited. This audit activity includes the hold name, ID, and the specific data sources and query values that were modified."
,,,HoldViewed,Viewed hold,,User viewed a hold inside a case. This audit activity includes the hold name and ID the user viewed. It also includes the specific data sources and query values inside the hold that was viewed by the user.
,,,HostSiteSet,Set host site,,A SharePoint or global administrator changes the designated site to host personal or OneDrive for Business sites.
,,,HubSiteJoined,Joined site to hub site,,A site owner associates their site with a hub site.
,,,HubSiteOrphanHubDeleted,Deleted orphaned hub site,,"A SharePoint or global administrator deleted an orphan hub site, which is a hub site that doesn't have any sites associated with it. An orphaned hub is likely caused by the deletion of the original hub site."
,,,HubSiteRegistered,Registered hub site,,A SharePoint or global administrator creates a hub site. The results are that the site is registered to be a hub site.
,,,HubSiteUnjoined,Unjoined site from hub site,,A site owner disassociates their site from a hub site.
,,,HubSiteUnregistered,Unregistered hub site,,"A SharePoint or global administrator unregisters a site as a hub site. When a hub site is unregistered, it no longer functions as a hub site."
,,,InformationBarriersInsightsReportCompleted,Information barriers insights report completed,,System completes build of the information barriers insights report.
,,,InformationBarriersInsightsReportOneDriveSectionQueried,Information barriers insights report OneDrive section queried,,An administrator queries the information barriers insights report for OneDrive accounts.
,,,InformationBarriersInsightsReportSchedule,Information barriers insights report scheduled,,An administrator schedules the information barriers insights report.
,,,InformationBarriersInsightsReportSharePointSectionQueried,Information barriers insights report SharePoint section queried,,An administrator queries the information barriers insights report for Sharepoint sites.
,,,Install RD agent,Install RD agent,,Install RD agent on the device of the user.
,,,InviteeResponded,Responded to invitation for shared channel 3,,A user responded to a shared channel invitation.
,,,InviteSent,Sent invitation for shared channel 3,,A channel owner or member sends an invitation to a shared channel. Invitations to shared channels can be sent to people outside of your organization if the channel policy is configured to share the channel with external users.
,,,IsolateDevice,Isolated device,,"Isolated a device from the network, helping prevent attacks from spreading."
,,,LabelContentExplorerAccessedItem,Accessed item,,An admin (or a user who's a member of the Content Explorer Content Viewer role group) uses content explorer to view an email message or SharePoint/OneDrive document.
,,,LegacyWorkflowEnabledSet,Enabled legacy workflow,,Site administrator or owner adds the SharePoint 2013 Workflow Task content type to the site. Global administrators can also enable work flows for the entire organization in the SharePoint admin center.
,,,LinkedEntityCreated,Linked entity created,,A linked entity of task was created.
,,,LinkedEntityDeleted,Linked entity deleted,,A linked entity was deleted.
,,,LinkedEntityUpdated,Linked entity updated,,A linked entity was updated.
,,,List Column Deleted,Deleted list column,,A user deleted a SharePoint list column.
,,,List Item Deleted,Deleted list item,,A user deleted a SharePoint list item.
,,,ListAllBackupItemsInPolicies,Programmatically got list of Backup Items in Backup Policies,,A list of all protection units present in a backup policy in Microsoft 365 Backup is requested programmatically.
,,,ListAllBackupItemsInTenant,Programmatically got list of Backup Items in Tenant,,A user programmatically gets list of all protection units in the organization backed up using Microsoft 365 Backup.
,,,ListAllBackupItemsInWorkload,Programmatically got list of Backup Items in Workload,,"A user programmatically gets list of all protection units in workload (SharePoint, OneDrive, or Exchange) backed up using Microsoft 365 Backup."
,,,ListAllBackupPolicies,Programmatically got list of all Backup Policies,,A user programmatically gets the list of all backup policies backed up using Microsoft 365 Backup.
,,,ListAllRestorePoints,Programmatically got list of Restore Points,,A user programmatically gets all restore points in Microsoft 365 Backup. Restore Points represent the timestamp when an artifact is protected (per Protection Policy). Only Global Admins have access.
,,,ListAllRestoreTasks,Programmatically got list of Restore Tasks,,A user programmatically gets the list of existing restore sessions in Microsoft 365 Backup. This includes the restore session created for every service type enrolled in the organization.
,,,ListColumnCreated,Created list column,,A user created a SharePoint list column. A list column is a column that's attached to one or more SharePoint lists.
,,,ListColumnUpdated,Updated list column,,A user updated a SharePoint list column by modifying one or more properties.
,,,ListContentTypeCreated,Created list content type,,A user created a list content type. A list content type is a content type that's attached to one or more SharePoint lists.
,,,ListContentTypeDeleted,Deleted list content type,,A user deleted a list content type.
,,,ListContentTypeUpdated,Updated list content type,,A user updated a list content type by modifying one or more properties.
,,,ListCreated,Created list,,A user created a SharePoint list.
,,,ListDeleted,Deleted list,,A user deleted a SharePoint list.
,,,ListForms,Listed forms,,Form owner is viewing a list of forms.
,,,ListItemCreated,Created list item,,A user created an item in an existing SharePoint list.
,,,ListItemRecycled,Recycled list item,,A user moved a SharePoint list item to the Recycle Bin.
,,,ListItemRestored,Restored list item,,A user restored a SharePoint list item from the Recycle Bin.
,,,ListItemUpdated,Updated list item,,A user updated a SharePoint list item by modifying one or more properties.
,,,ListRestored,Restored list,,A user restored a SharePoint list from the Recycle Bin.
,,,ListUpdated,Updated list,,A user updated a SharePoint list by modifying one or more properties.
,,,ListViewUpdated,Updated list view,,A user updated a SharePoint list view by modifying one or more properties.
,,,LiveNotesUpdate,Populate AI-generated notes in live meetings,,AI-generated notes have been populated for a live meeting.
,,,LiveResponseGetFile,Ran get Live response file link,,"Opened a Live response session, opening a remote shell into a device."
,,,LoadCountInCaseViewed,Viewed load count in case,,User viewed the count of load sets in a case.
,,,LoadListViewed,Viewed load list,,User viewed a list of load sets in review set.
,,,LockRecord,Changed record status to locked,,The record status of a retention label that classifies a document as a record was locked. This means the document can't be modified or deleted. Only users assigned at least the contributor permission for a site can change the record status of a document.
,,,LogsCollection,Collected Logs,,Collected log information about Defender for Endpoint.
,,,MailboxLogin,User signed in to mailbox,,The user signed in to their mailbox.
,,,ManagedSyncClientAllowed,Allowed computer to sync files,,User successfully establishes a sync relationship with a site. The sync relationship is successful because the user's computer is a member of a domain that's been added to the list of domains (called the safe recipients list) that can access document libraries in your organization.
,,,MarkedMessageChanged,Reacted to message,,User reacted to a message.
,,,MeetingDetail,Added details about Teams meeting 9,,"Teams added information about a meeting, including the start time, the end time, and the URL to join the meeting."
,,,MeetingExclusionCreated,Created meeting exclusion,,Analyst created a meeting exclusion rule.
,,,MemberAdded,"Added members 6, 8",,"A team owner adds members to a team, channel, or group chat."
,,,MemberRemoved,"Removed members 6, 8",,"A team owner removes members from a team, channel, or group chat."
,,,MemberRoleChanged,Changed role of members in team,,A team owner changes the role of members in a team. The following values indicate the role type assigned to the user.
,,,MessageCreatedHasLink,Sent a message with a URL link in Teams,,A user sends a message containing a URL link in Teams.
,,,MessageCreatedNotification,Sent change notification for message creation 1,,A change notification was sent to notify a subscribed listener application of a new message.
,,,MessageCreation,Created message,,User creates a message.
,,,MessageDeleted,Deleted a message 2,,A message in a chat or channel was deleted.
,,,MessageDeleted,Deleted message,,User deletes a message.
,,,MessageDeletedNotification,Sent change notification for message deletion 1,,A change notification was sent to notify a subscribed listener application of a deleted message.
,,,MessageEditedHasLink,Edited a message with a URL link in Teams,,A user edits a message and adds a URL link to it in Teams.
,,,MessageHostedContentRead,Read hosted content of a message 1,,"Hosted content in a message, such as an image or a code snippet, was retrieved."
,,,MessageHostedContentsListed,Fetched all hosted content of a message1,,"All hosted content in a message, such as images or code snippets, was retrieved."
,,,MessageRead,Read a message 1,,A message of a chat or channel was retrieved.
,,,MessagesExported,"Exported messages 1, 2",,Chat or channel messages were exported.
,,,MessagesListed,Retrieved messages 1,,Messages from a chat or channel were retrieved.
,,,MessageUpdated,Updated a message 1,,A message of a chat or channel was updated.
,,,MessageUpdated,Updated message,,User updates a message.
,,,MessageUpdatedNotification,Sent change notification for message update 1,,A change notification was sent to notify a subscribed listener application of an updated message.
,,,MigrationJobCompleted,Completed migration job,,A migration job was successfully completed.
,,,MonitoringAlertNotificationRecipientAdded,Added health issues notification recipient,,A recipient was added to the health issues notification configuration.
,,,MonitoringAlertNotificationRecipientDeleted,Deleted health issues notification recipient,,A recipient was removed from the heath issues notification configuration.
,,,MonitoringAlertUpdated,Updated health issue,,A health issue was modified.
,,,Move,Moved messages to another folder,,A message was moved to another folder.
,,,MovedFormIntoCollection,Moved a form into collection,,Form owner moved a form into a collection.
,,,MovedFormOutofCollection,Moved a form out of collection,,Form owner moved a form out of a collection.
,,,MoveForm,Moved form,,Form owner moves a form.
,,,NetworkAccessPolicyChanged,Changed network access policy,,"A SharePoint or global administrator changed the location-based access policy (also called a trusted network boundary) in the SharePoint admin center or by using SharePoint Online PowerShell. This type of policy controls who can access SharePoint and OneDrive resources in your organization based on authorized IP address ranges that you specify. For more information, see Control access to SharePoint Online and OneDrive data based on network location."
,,,NetworkAdminUpdated,Updated role assignment for Network Admin,,A user is either promoted or demoted to the Network Admin role.
,,,NetworkConfigurationUpdated,Changed network configuration,,Network or verified admin changes the Viva Engage network's configuration. This includes setting the interval for exporting data and enabling chat.
,,,NetworkSecurityConfigurationUpdated,Changed security configuration,,Verified admin updates the Viva Engage network's security configuration. This includes setting password expiration policies and restrictions on IP addresses. Only verified admins can perform this operation.
,,,NetworkUserSuspended,Suspended network user,,Network or verified admin suspends (deactivates) a user from Viva Engage.
,,,NetworkVerifiedAdminUpdated,Updated role assignment for Verified Admin,,A user is either promoted or demoted to the Verified Admin role.
,,,NewAdaptiveScope,Created adaptive scope,,Administrator created an adaptive scope.
,,,NewBackupPolicyCreated,Created new Backup policy,,"A new Microsoft 365 Backup policy has been created by a Global Admin. By default, a backup policy is created in an inactive state."
,,,NewComplianceTag,Created retention label,,Administrator created a new retention label.
,,,NewRetentionCompliancePolicy,Created retention policy,,Administrator created a new retention policy.
,,,NewRetentionComplianceRule,Configured settings for a retention policy,,"Administrator configured the retention settings for a new retention policy. Retention settings include how long items are retained, and what happens to items when the retention period expires (such as deleting items, retaining items, or retaining and then deleting them). This activity also corresponds to running the New-RetentionComplianceRule cmdlet."
,,,NewsFeedEnabledSet,Enabled RSS feeds,,Site administrator or owner enables RSS feeds for a site. Global administrators can enable RSS feeds for the entire organization in the SharePoint admin center.
,,,NotificationConfigurationUpdated,Updated security notification configuration,,The security alerts or health issues notifications configuration was modified.
,,,OCE Run Commands on VM,OCE Run Commands on VM,,"Run commands by tenantID, deviceID list, and script."
,,,OfficeOnDemandSet,Enabled Office on Demand,,"Site administrator enables Office on Demand, which lets users access the latest version of Office desktop applications. Office on Demand is enabled in the SharePoint admin center and requires a Microsoft 365 subscription that includes full, installed Office applications."
,,,OffShiftDialogAccepted,Accepted off shift message,,A user acknowledges the off-shift message to access Teams after shift hours.
,,,OKR or Project created,OKR or Project created,,User has created an OKR or Project on Viva Goals.
,,,OKR or Project deleted,OKR or Project deleted,,User has deleted an OKR or Project.
,,,OKR or Project updated,OKR or Project updated,,An OKR/Project has been modified or a check-in has been made by the user or an integration on Viva Goals.
,,,OpenConversation,Conversation opened,,"The Viva Engage thread conversation has been opened which allows users to reply to the thread. This action can be performed by an admin, corporate communications, or a user delegate."
,,,OpenShiftAdded,Added open shift,,A user successfully adds an open shift to a scheduling group.
,,,OpenShiftDeleted,Deleted open shift,,A user successfully deletes an open shift from a scheduling group.
,,,OpenShiftEdited,Edited open shift,,A user successfully edits an open shift in a scheduling group.
,,,Organization created,Organization created,,Admin or the user has created a new organization on Viva Goals.
,,,Organization integrations updated,Organization integrations updated,,The user (typically Organization owners or admins) has configured a third party integration or updated an existing third party integration for an organization on Viva Goals.
,,,Organization settings updated,Organization settings updated,,The user (typically Organization owners or admins) has updated organization specific settings on Viva Goals.
,,,PeopleResultsScopeSet,Enabled result source for People Searches,,Site administrator creates the result source for People Searches for a site.
,,,PerformedCardAction,Performed action on card,,A user took action on an adaptive card within a chat. Adaptive cards are typically used by bots to allow the rich display of information and interaction in chats.
,,,PermissionLevelAdded,Added permission level to site collection,,A permission level was added to a site collection.
,,,PermissionLevelModified,Modified permission level on a site collection,,A permission level was changed on a site collection.
,,,PermissionLevelRemoved,Removed permission level from site collection,,A permission level was removed from a site collection.
,,,PermissionLevelsInheritanceBroken,Broke permission level inheritance,,An item was changed so that it no longer inherits permission levels from its parent.
,,,PlanCopied,Copied a plan,,"A plan is copied by a user or an app. If the copy operation is a ResultStatus.Failure or ResultStatus.Failure, newPlanId indicates null, newContainerType indicates ContainerType.Invalid, and newContainerId indicates null."
,,,PlanCreated,Created a plan,,"A plan is created by a user or an app. If the create operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates null, ContainerType indicates ContainerType.Invalid and ContainerId indicates null."
,,,PlanDeleted,Deleted a plan,,A plan is deleted by a user or an app.
,,,PlanListRead,Read a list of plans,,"A list of plans is queried by a user or an app. If the query operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, PlanList indicates an empty string."
,,,PlanModified,Modified a plan,,A plan is modified by a user or an app.
,,,PlanRead,Read a plan,,"A plan is read by a user or an app. If the read operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ContainerType indicates ContainerType.Invalid and ContainerId indicates null."
,,,Post Remote Action Operation,Post Remote Action Operation,,"Post Remote Action, plus polling the result by GetActions operation."
,,,PreviewForm,Previewed form,,Form owner previews a form using the Preview function.
,,,PreviewModeEnabledSet,Enabled document preview,,Site administrator enables document preview for a site.
,,,ProcessProfileFields,Changed network profile settings,,Network or verified admin changes the information that appears on member profiles for network users network.
,,,ProInvitation,Sent Forms Pro invitation,,User selects to activate a Pro trial.
,,,ProjectAccessed,Project accessed,,A project is read or app.
,,,ProjectCreated,Created project,,A project is created by a user or app.
,,,ProjectDeleted,Deleted project,,A project is deleted by a user or app.
,,,ProjectForTheWebProjectSettings,Updated project settings,,Project settings are updated by an admin.
,,,ProjectForTheWebRoadmaptSettings,Updated roadmap settings,,Roadmap or portfolio settings are updated by an admin.
,,,ProjectListAccessed,Project home accessed,,A list of projects and/or roadmaps is queried by a user.
,,,ProjectUpdated,Updated project,,A project is modified by a user or app.
,,,PulseCancel,User canceled a Pulse survey,,User canceled a Pulse survey.
,,,PulseCreate,User created a Pulse survey,,New Viva Pulse feedback request is created.
,,,PulseCreateDraft,User created a Pulse draft,,User created a Pulse draft.
,,,PulseDeleteDraft,User deleted a Pulse draft,,User deleted a Pulse draft.
,,,PulseDeleteUserData,Admin deleted a user's data,,Admin deleted a user's data.
,,,PulseExtendDeadline,User extended their pulse survey deadline,,The deadline for the existing Viva Pulse feedback request was extended.
,,,PulseInvite,User invited additional users to Pulse survey,,Additional users were invited to an existing Viva Pulse feedback request.
,,,PulseShareResults,User shared a pulse report,,Viva Pulse feedback result was shared with users.
,,,PulseSubmit,User submitted response to a pulse survey,,Admin or user provided feedback for a Viva Pulse feedback request.
,,,PulseTenantSettingsUpdate,Admin updated tenant's settings,,Admin updated an organization setting for Viva Pulse.
,,,PurviewSearchAdded,Added Purview search,,"A new search was created. This audit activity includes the case name, case ID, and search name that was created."
,,,PurviewSearchAddToReviewSetJobSubmitted,Submitted purview search add to review set job,,"User triggered a �add to review set� process from a search. This audit activity includes the search name, ID, and the specific data sources and query values that were associated to the search. It also includes relevant add to review set process settings used."
,,,PurviewSearchDeleteFile,Deleted file for Purview search,,"User deleted a file from a search. This audit activity includes the case name, case ID, search name, search ID, and the ID of the file the user deleted."
,,,PurviewSearchExportJobSubmitted,Submitted purview search export job,,"User triggered an �export� process from a search. This audit activity includes the search name, ID, and the specific data sources and query values that were associated to the search. It also includes relevant export process settings used and the export name."
,,,PurviewSearchListViewed,Viewed Purview search list,,"User viewed the searches list inside a case. This audit activity includes the case name, case ID, and the list of searches name and ID the user viewed."
,,,PurviewSearchSampleJobSubmitted,Submitted purview search sample job,,"User triggered a �generate sample� process from a search. This audit activity includes the search name, ID, and the specific data sources and query values that were associated to the search. It also includes relevant sample process settings used."
,,,PurviewSearchStatisticsJobSubmitted,Submitted purview search statistics job,,"User triggered a �generate statistics� process from a search. This audit activity includes the search name, ID, and the specific data sources and query values that were associated to the search. It also includes relevant statistics process settings used."
,,,PurviewSearchUpdated,Updated Purview search,,"Search was modified or edited. This audit activity includes the search name, ID, and the specific data sources and query values that were modified."
